Quarter,InspectionCount,WorkOrderCount,WorkOrderPercentage
2021Q3,0,0.0,0.0
2022Q1,8797,5712.0,64.93122655450722
2022Q2,13192,8536.0,64.70588235294117
2022Q3,18461,12201.0,66.09067764476464
2022Q4,13545,8293.0,61.225544481358426
2023Q1,3,0.0,0.0
